# time[S]; data[V]
9.959999999998588350e-11;6.468400000000000538e-02
1.995999999999933964e-10;6.470660000000000300e-02
2.996000000000009093e-10;6.443459999999999466e-02
3.996000000000084222e-10;6.437350000000000017e-02
4.996000000000159351e-10;6.462959999999999539e-02
5.995999999999705084e-10;6.496659999999999935e-02
6.995999999999780213e-10;6.475830000000000475e-02
7.995999999999855342e-10;6.470919999999999450e-02
8.995999999999930471e-10;6.498650000000000260e-02
9.996000000000005600e-10;6.463230000000000364e-02
1.099600000000008073e-09;6.413339999999999319e-02
1.199600000000015586e-09;6.613560000000000272e-02
1.299599999999970159e-09;6.454469999999999652e-02
1.399599999999977672e-09;6.502370000000000372e-02
1.499599999999985185e-09;6.467340000000000588e-02
1.599599999999992698e-09;6.592459999999999987e-02
1.699600000000000211e-09;6.500780000000000447e-02
1.799600000000007724e-09;6.497590000000000310e-02
1.899600000000015236e-09;6.416650000000000131e-02
1.999599999999969810e-09;6.502370000000000372e-02
2.099599999999977323e-09;6.434700000000000142e-02
2.199599999999984836e-09;6.503559999999999897e-02
2.299599999999992348e-09;6.436949999999999616e-02
2.399599999999999861e-09;6.463489999999999513e-02
2.499600000000007374e-09;6.436820000000000042e-02
2.599600000000014887e-09;6.469590000000000063e-02
2.699599999999969460e-09;6.451020000000000365e-02
2.799599999999976973e-09;6.511119999999999408e-02
2.899599999999984486e-09;6.554250000000000353e-02
2.999599999999991999e-09;6.470120000000000038e-02
3.099599999999999512e-09;6.430189999999999517e-02
3.199600000000007025e-09;6.505950000000000621e-02
3.299600000000014538e-09;6.543499999999999317e-02
3.399599999999969111e-09;6.584099999999999675e-02
3.499599999999976624e-09;6.521739999999999482e-02
3.599599999999984137e-09;6.469859999999999500e-02
3.699599999999991650e-09;6.470660000000000300e-02
3.799599999999999163e-09;6.426600000000000368e-02
3.899600000000006676e-09;6.343940000000000690e-02
3.999600000000014189e-09;6.482069999999999499e-02
4.099599999999968762e-09;6.392499999999999571e-02
4.199599999999976275e-09;6.521340000000000470e-02
4.299599999999983788e-09;6.494270000000000598e-02
4.399599999999991301e-09;6.469990000000000463e-02
4.499599999999998813e-09;6.434960000000000679e-02
4.599600000000006326e-09;6.473180000000000600e-02
4.699600000000013839e-09;6.433500000000000330e-02
4.799599999999968413e-09;6.511119999999999408e-02
4.899599999999975925e-09;6.516700000000000270e-02
4.999599999999983438e-09;6.385209999999999497e-02
5.099599999999990951e-09;6.399670000000000358e-02
5.199599999999998464e-09;6.483790000000000386e-02
5.299600000000005977e-09;6.515769999999999895e-02
5.399600000000013490e-09;6.434429999999999317e-02
5.499599999999968063e-09;6.509130000000000471e-02
5.599599999999975576e-09;6.511260000000000658e-02
5.699599999999983089e-09;6.504219999999999446e-02
5.799599999999990602e-09;6.432839999999999392e-02
5.899599999999998115e-09;6.517489999999999395e-02
5.999600000000005628e-09;6.476759999999999462e-02
6.099600000000013141e-09;6.468269999999999575e-02
6.199599999999967714e-09;6.441070000000000129e-02
6.299599999999975227e-09;6.432970000000000355e-02
6.399599999999982740e-09;6.464949999999999863e-02
6.499599999999990253e-09;6.437350000000000017e-02
6.599599999999997765e-09;6.471449999999999425e-02
6.699600000000005278e-09;6.446770000000000278e-02
6.799600000000012791e-09;6.509399999999999908e-02
6.899600000000020304e-09;6.514570000000000083e-02
6.999599999999974877e-09;6.433369999999999367e-02
7.099599999999982390e-09;6.396620000000000084e-02
7.199599999999989903e-09;6.311170000000000668e-02
7.299599999999997416e-09;6.188570000000000182e-02
7.399600000000004929e-09;6.340759999999999452e-02
7.499600000000012442e-09;6.527979999999999894e-02
7.599600000000019955e-09;6.705379999999999674e-02
7.699599999999974528e-09;6.672740000000000615e-02
7.799599999999982041e-09;6.658010000000000317e-02
7.899599999999989554e-09;6.483529999999999849e-02
7.999599999999997067e-09;6.446639999999999315e-02
8.099600000000004580e-09;6.505819999999999659e-02
8.199600000000012093e-09;6.505679999999999796e-02
8.299600000000019606e-09;6.513779999999999570e-02
8.399599999999974179e-09;6.479409999999999337e-02
8.499599999999981692e-09;6.468269999999999575e-02
8.599599999999989205e-09;6.512320000000000608e-02
8.699599999999996718e-09;6.380959999999999410e-02
8.799600000000004230e-09;6.470660000000000300e-02
8.899600000000011743e-09;6.475559999999999650e-02
8.999600000000019256e-09;6.428860000000000130e-02
9.099599999999973830e-09;6.438280000000000391e-02
9.199599999999981342e-09;6.569369999999999377e-02
9.299599999999988855e-09;6.422490000000000143e-02
9.399599999999996368e-09;6.509800000000000308e-02
9.499600000000003881e-09;6.518820000000000170e-02
9.599600000000011394e-09;6.424219999999999930e-02
9.699600000000018907e-09;6.507670000000000121e-02
9.799599999999973480e-09;6.474109999999999587e-02
9.899599999999980993e-09;6.432709999999999817e-02
9.999599999999988506e-09;6.478480000000000349e-02
1.009959999999999602e-08;6.430049999999999655e-02
1.019960000000000353e-08;6.556370000000000253e-02
1.029960000000001104e-08;6.512189999999999646e-02
1.039960000000001856e-08;6.419439999999999868e-02
1.049959999999997313e-08;6.427800000000000180e-02
1.059959999999998064e-08;6.467870000000000563e-02
1.069959999999998816e-08;6.479409999999999337e-02
1.079959999999999567e-08;6.473710000000000575e-02
1.089960000000000318e-08;6.473039999999999350e-02
1.099960000000001070e-08;6.426869999999999805e-02
1.109960000000001821e-08;6.557169999999999666e-02
1.119959999999997278e-08;6.467470000000000163e-02
1.129959999999998029e-08;6.502099999999999547e-02
1.139959999999998781e-08;6.554250000000000353e-02
1.149959999999999532e-08;6.455529999999999602e-02
1.159960000000000283e-08;6.559550000000000103e-02
1.169960000000001035e-08;6.369420000000000637e-02
1.179960000000001786e-08;6.470789999999999875e-02
1.189959999999997243e-08;6.477819999999999412e-02
1.199959999999997995e-08;6.503559999999999897e-02
1.209959999999998746e-08;6.550129999999999841e-02
1.219959999999999497e-08;6.462030000000000551e-02
1.229960000000000248e-08;6.377380000000000548e-02
1.239960000000001000e-08;6.523329999999999407e-02
1.249960000000001751e-08;6.428200000000000580e-02
1.259959999999997208e-08;6.466810000000000613e-02
1.269959999999997960e-08;6.516700000000000270e-02
1.279959999999998711e-08;6.428989999999999705e-02
1.289959999999999462e-08;6.389190000000000147e-02
1.299960000000000213e-08;6.437089999999999479e-02
1.309960000000000965e-08;6.364110000000000600e-02
1.319960000000001716e-08;6.358139999999999625e-02
1.329959999999997173e-08;6.438019999999999854e-02
1.339959999999997925e-08;6.440800000000000691e-02
1.349959999999998676e-08;6.437220000000000442e-02
1.359959999999999427e-08;6.474499999999999700e-02
1.369960000000000179e-08;6.473569999999999325e-02
1.379960000000000930e-08;6.499580000000000635e-02
1.389960000000001681e-08;6.484449999999999936e-02
1.399959999999997138e-08;6.501969999999999972e-02
1.409959999999997890e-08;6.507140000000000146e-02
1.419959999999998641e-08;6.479680000000000162e-02
1.429959999999999392e-08;6.474240000000000550e-02
1.439960000000000144e-08;6.471050000000000413e-02
1.449960000000000895e-08;6.469859999999999500e-02
1.459960000000001646e-08;6.470520000000000438e-02
1.469959999999997104e-08;6.474240000000000550e-02
1.479959999999997855e-08;6.446369999999999878e-02
1.489959999999998606e-08;6.436419999999999642e-02
1.499959999999999357e-08;6.434429999999999317e-02
1.509960000000000109e-08;6.504359999999999309e-02
1.519960000000000860e-08;6.473439999999999750e-02
1.529960000000001611e-08;6.464949999999999863e-02
1.539959999999997069e-08;6.560349999999999515e-02
1.549959999999997820e-08;6.425409999999999455e-02
1.559959999999998571e-08;6.425279999999999880e-02
1.569959999999999322e-08;6.478620000000000212e-02
1.579960000000000074e-08;6.472509999999999375e-02
1.589960000000000825e-08;6.352570000000000439e-02
1.599960000000001576e-08;6.219349999999999878e-02
1.609959999999997034e-08;6.153669999999999973e-02
1.619959999999997785e-08;6.404310000000000558e-02
1.629959999999998536e-08;6.531560000000000143e-02
1.639959999999999288e-08;6.666500000000000203e-02
1.649960000000000039e-08;6.635580000000000644e-02
1.659960000000000790e-08;6.620189999999999408e-02
1.669960000000001541e-08;6.396620000000000084e-02
1.679959999999996999e-08;6.325229999999999742e-02
1.689959999999997750e-08;6.533949999999999481e-02
1.699959999999998501e-08;6.561409999999999465e-02
1.709959999999999253e-08;6.460169999999999801e-02
1.719960000000000004e-08;6.423289999999999556e-02
1.729960000000000755e-08;6.430450000000000055e-02
1.739960000000001506e-08;6.475830000000000475e-02
1.749959999999996964e-08;6.474370000000000125e-02
1.759959999999997715e-08;6.446899999999999853e-02
1.769959999999998466e-08;6.436160000000000492e-02
1.779959999999999218e-08;6.397150000000000059e-02
1.789959999999999969e-08;6.473840000000000150e-02
1.799960000000000720e-08;6.477689999999999837e-02
1.809960000000001472e-08;6.470789999999999875e-02
1.819959999999996929e-08;6.476629999999999887e-02
1.829959999999997680e-08;6.243230000000000307e-02
1.839959999999998431e-08;6.321519999999999917e-02
1.849959999999999183e-08;6.376579999999999748e-02
1.859959999999999934e-08;6.447569999999999690e-02
1.869960000000000685e-08;6.406969999999999332e-02
1.879960000000001437e-08;6.521739999999999482e-02
1.889959999999996894e-08;6.560620000000000340e-02
1.899959999999997645e-08;6.546150000000000579e-02
1.909959999999998396e-08;6.465079999999999438e-02
1.919959999999999148e-08;6.289409999999999445e-02
1.929959999999999899e-08;6.444379999999999553e-02
1.939960000000000650e-08;6.354949999999999488e-02
1.949960000000001402e-08;6.442000000000000504e-02
1.959959999999996859e-08;6.530759999999999343e-02
1.969959999999997610e-08;6.508740000000000359e-02
1.979959999999998362e-08;6.641950000000000631e-02
1.989959999999999113e-08;6.495070000000000010e-02
1.999959999999999864e-08;6.541909999999999392e-02
2.009960000000000615e-08;6.415189999999999781e-02
2.019960000000001367e-08;6.501310000000000422e-02
2.029959999999996824e-08;6.517100000000000670e-02
2.039959999999997575e-08;6.585299999999999487e-02
2.049959999999998327e-08;6.502769999999999384e-02
2.059959999999999078e-08;6.496659999999999935e-02
2.069959999999999829e-08;6.430980000000000030e-02
2.079960000000000580e-08;6.423950000000000493e-02
2.089960000000001332e-08;6.468930000000000513e-02
2.099959999999996789e-08;6.468930000000000513e-02
2.109959999999997540e-08;6.471449999999999425e-02
2.119959999999998292e-08;6.498249999999999860e-02
2.129959999999999043e-08;6.503559999999999897e-02
2.139959999999999794e-08;6.477420000000000400e-02
2.149960000000000546e-08;6.444909999999999528e-02
2.159960000000001297e-08;6.464949999999999863e-02
2.169960000000002048e-08;6.440800000000000691e-02
2.179959999999997505e-08;6.462160000000000126e-02
2.189959999999998257e-08;6.472250000000000225e-02
2.199959999999999008e-08;6.442390000000000616e-02
2.209959999999999759e-08;6.437089999999999479e-02
2.219960000000000511e-08;6.434829999999999717e-02
2.229960000000001262e-08;6.436160000000000492e-02
2.239960000000002013e-08;6.343940000000000690e-02
2.249959999999997471e-08;6.535269999999999968e-02
2.259959999999998222e-08;6.477420000000000400e-02
2.269959999999998973e-08;6.462560000000000526e-02
2.279959999999999724e-08;6.608250000000000235e-02
2.289960000000000476e-08;6.543100000000000305e-02
2.299960000000001227e-08;6.360789999999999500e-02
2.309960000000001978e-08;6.518690000000000595e-02
2.319959999999997436e-08;6.512850000000000583e-02
2.329959999999998187e-08;6.587819999999999787e-02
2.339959999999998938e-08;6.511920000000000208e-02
2.349959999999999689e-08;6.455529999999999602e-02
2.359960000000000441e-08;6.546420000000000017e-02
2.369960000000001192e-08;6.503299999999999359e-02
2.379960000000001943e-08;6.460309999999999664e-02
2.389959999999997401e-08;6.540980000000000405e-02
2.399959999999998152e-08;6.581449999999999800e-02
2.409959999999998903e-08;6.500910000000000022e-02
2.419959999999999655e-08;6.502099999999999547e-02
2.429960000000000406e-08;6.459910000000000652e-02
2.439960000000001157e-08;6.547609999999999542e-02
2.449960000000001908e-08;6.419170000000000431e-02
2.459959999999997366e-08;6.420629999999999393e-02
2.469959999999998117e-08;6.307319999999999593e-02
2.479959999999998868e-08;6.180209999999999870e-02
2.489959999999999620e-08;6.342219999999999802e-02
2.499960000000000371e-08;6.377109999999999723e-02
2.509960000000001122e-08;6.500780000000000447e-02
2.519960000000001873e-08;6.606130000000000335e-02
2.529959999999997331e-08;6.671009999999999440e-02
2.539959999999998082e-08;6.584099999999999675e-02
2.549959999999998833e-08;6.459380000000000677e-02
2.559959999999999585e-08;6.425010000000000443e-02
2.569960000000000336e-08;6.426339999999999830e-02
2.579960000000001087e-08;6.430579999999999630e-02
2.589960000000001839e-08;6.473310000000000175e-02
2.599959999999997296e-08;6.513649999999999995e-02
2.609959999999998047e-08;6.467739999999999601e-02
2.619959999999998798e-08;6.467069999999999763e-02
2.629959999999999550e-08;6.435230000000000117e-02
